NestID,Structure Type,Structure ID,Maximum Width,Notes
A_treatae38a,Chamber,C6,6.7,
A_treatae38b,Chamber,C1,4.1,
A_treatae38b,Chamber,C2,2.3,
A_treatae38b,Chamber,C3,3.6,
A_treatae38b,Chamber,C4,3.5,
A_treatae39,Chamber,C1,5.7,
A_treatae39,Chamber,C2,4.8,
A_treatae39,Chamber,C3,3.4,
A_treatae39,Chamber,C4,3.4,
A_treatae39,Chamber,C5,6.3,
A_treatae39,Chamber,C6,3.5,
A_treatae39,Chamber,C7,2.4,
A_treatae39,Chamber,C8,6.3,
A_treatae39,Chamber,C9,5.9,
Ap_treatae1,Entrance,E1,0,
Ap_treatae1,Chamber,C2,2.734,
Ap_treatae1,Chamber,C4,3.099,
Ap_treatae1,Chamber,C1,3.835,
Ap_treatae1,Chamber,C3,4.691,
Ap_treatae1,Chamber,C5,5.474,
Aphaenogaster_1,Entrance,E1,0,
Aphaenogaster_1,Chamber,C1,2.838,
Aphaenogaster_1,Chamber,C6,6.329,
Aphaenogaster_1,Chamber,C3,6.559,
Aphaenogaster_1,Chamber,C5,6.57,
Aphaenogaster_1,Chamber,C4,6.639,
Aphaenogaster_1,Chamber,C2,7.062,
Aphaenogaster_1,Chamber,C7,7.821,
C_socius1,Chamber,C1,5.1,
C_socius1,Chamber,C2,4.4,
C_socius1,Chamber,C3,5.7,
C_socius1,Chamber,C4,9.5,
C_socius10,Chamber,C1,2.5,
C_socius10,Chamber,C2,4.9,
C_socius10,Chamber,C3,5.5,
C_socius10,Chamber,C4,8.9,
C_socius10,Chamber,C5,2.7,
C_socius10,Chamber,C6,8.6,
C_socius10,Chamber,C7,7.1,
C_socius11,Chamber,C1,4.2,
C_socius11,Chamber,C2,2.8,
C_socius11,Chamber,C3,6.6,
C_socius12,Chamber,C1,8.2,
C_socius12,Chamber,C2,14.6,
C_socius12,Chamber,C3,12.5,
C_socius12,Chamber,C4,7.6,
C_socius14,Chamber,C1,5.3,
C_socius14,Chamber,C2,15,
C_socius14,Chamber,C3,7.4,
C_socius14,Chamber,C4,9.1,
C_socius14,Chamber,C5,13.9,
C_socius14,Chamber,C6,3.5,
