Species Name,Specimen Name,Link to image,Head width at eyes,Max head width (if different),Mandible Width,Link to image,Head length,Weber's length
Pachycondyla striata,CASENT0249158,https://www.antweb.org/bigPicture.do?name=casent0249158&shot=h&number=1,2.9,,1.96,https://www.antweb.org/bigPicture.do?name=casent0249158&shot=p&number=1,2.65,4.5
Pachycondyla striata,CASENT0901359,https://www.antweb.org/bigPicture.do?name=casent0901359&shot=h&number=1,2.66,,2.04,https://www.antweb.org/bigPicture.do?name=casent0901359&shot=p&number=1,2.41,4.51
Pachycondyla striata,CASENT0902514,https://www.antweb.org/bigPicture.do?name=casent0902514&shot=h&number=1,2.57,,1.9,https://www.antweb.org/bigPicture.do?name=casent0902514&shot=p&number=1,2.57,4.71
Pachycondyla striata,CASENT0915275,https://www.antweb.org/bigPicture.do?name=casent0915275&shot=h&number=1,2.54,,1.89,https://www.antweb.org/bigPicture.do?name=casent0915275&shot=p&number=1,2.36,4.06
Pachycondyla striata,CASENT0923096,https://www.antweb.org/bigPicture.do?name=casent0923096&shot=h&number=1,2.71,2.75,1.99,https://www.antweb.org/bigPicture.do?name=casent0923096&shot=p&number=1,2.85,4.3
Pachycondyla striata,UFV-LABECOL-000291,https://www.antweb.org/bigPicture.do?name=ufv-labecol-000291&shot=h&number=1,2.78,,,https://www.antweb.org/bigPicture.do?name=ufv-labecol-000291&shot=p&number=1,2.84,4.79
Pheidole morrisii,CASENT0104416,https://www.antweb.org/bigPicture.do?name=casent0104416&shot=h&number=1,0.61,,0.38,https://www.antweb.org/bigPicture.do?name=casent0104416&shot=p&number=1,0.59,0.88
Pheidole morrisii,CASENT0908229,https://www.antweb.org/bigPicture.do?name=casent0908229&shot=h&number=1,0.69,,0.46,https://www.antweb.org/bigPicture.do?name=casent0908229&shot=p&number=1,0.72,1.03
Pheidole morrisii,CASENT0908231,https://www.antweb.org/bigPicture.do?name=casent0908231&shot=h&number=1,0.8,,0.51,https://www.antweb.org/bigPicture.do?name=casent0908231&shot=p&number=1,0.84,1.17
Pheidole morrisii,CASENT0917780,https://www.antweb.org/bigPicture.do?name=casent0917780&shot=h&number=2,,,0.88,https://www.antweb.org/bigPicture.do?name=casent0917780&shot=p&number=1,1.22,1.23
Pheidole morrisii,CASENT0104415,https://www.antweb.org/bigPicture.do?name=casent0104415&shot=h&number=1,1.18,,0.76,https://www.antweb.org/bigPicture.do?name=casent0104415&shot=p&number=1,1.2,1.21
Pheidole morrisii,CASENT0908230,https://www.antweb.org/bigPicture.do?name=casent0908230&shot=h&number=1,1.35,,0.9,https://www.antweb.org/bigPicture.do?name=casent0908230&shot=p&number=1,1.47,1.25
Pheidole morrisii,FOCOL0245-1,https://www.antweb.org/bigPicture.do?name=focol0245-1&shot=h&number=1,1.21,,0.82,https://www.antweb.org/bigPicture.do?name=focol0245-1&shot=p&number=1,1.19,1.12
Pheidole morrisii,FOCOL0245-2,https://www.antweb.org/bigPicture.do?name=focol0245-2&shot=h&number=1,1.24,,0.78,https://www.antweb.org/bigPicture.do?name=focol0245-2&shot=p&number=1,1.25,1.2
